Date,Day of Week,Weekday / Saturday / Sunday,Holiday,Mode,Entries Or Boardings
4/28/2024 12:00:00 AM,Sun,Sunday,No,Rail,231866
4/28/2024 12:00:00 AM,Sun,Sunday,No,Bus,221632
4/27/2024 12:00:00 AM,Sat,Saturday,No,Rail,263956
4/27/2024 12:00:00 AM,Sat,Saturday,No,Bus,237929
4/26/2024 12:00:00 AM,Fri,Weekday,No,Rail,398151
4/26/2024 12:00:00 AM,Fri,Weekday,No,Bus,396275
4/25/2024 12:00:00 AM,Thu,Weekday,No,Rail,464811
4/25/2024 12:00:00 AM,Thu,Weekday,No,Bus,407705
4/24/2024 12:00:00 AM,Wed,Weekday,No,Rail,463002
4/24/2024 12:00:00 AM,Wed,Weekday,No,Bus,414295
4/23/2024 12:00:00 AM,Tue,Weekday,No,Rail,455659
4/23/2024 12:00:00 AM,Tue,Weekday,No,Bus,413932
4/22/2024 12:00:00 AM,Mon,Weekday,No,Rail,361250
4/22/2024 12:00:00 AM,Mon,Weekday,No,Bus,390485
4/21/2024 12:00:00 AM,Sun,Sunday,No,Rail,197898
4/21/2024 12:00:00 AM,Sun,Sunday,No,Bus,197487
4/20/2024 12:00:00 AM,Sat,Saturday,No,Rail,352697
4/20/2024 12:00:00 AM,Sat,Saturday,No,Bus,259115
4/19/2024 12:00:00 AM,Fri,Weekday,No,Rail,381086
4/19/2024 12:00:00 AM,Fri,Weekday,No,Bus,342100
4/18/2024 12:00:00 AM,Thu,Weekday,No,Rail,438510
4/18/2024 12:00:00 AM,Thu,Weekday,No,Bus,376173
4/17/2024 12:00:00 AM,Wed,Weekday,No,Rail,442953
4/17/2024 12:00:00 AM,Wed,Weekday,No,Bus,368569
4/16/2024 12:00:00 AM,Tue,Weekday,No,Rail,434483
4/16/2024 12:00:00 AM,Tue,Weekday,No,Bus,367854
4/15/2024 12:00:00 AM,Mon,Weekday,No,Rail,374760
4/15/2024 12:00:00 AM,Mon,Weekday,No,Bus,357715
4/14/2024 12:00:00 AM,Sun,Sunday,No,Rail,237820
4/14/2024 12:00:00 AM,Sun,Sunday,No,Bus,217642
4/13/2024 12:00:00 AM,Sat,Saturday,No,Rail,327536
4/13/2024 12:00:00 AM,Sat,Saturday,No,Bus,253235
4/12/2024 12:00:00 AM,Fri,Weekday,No,Rail,386692
4/12/2024 12:00:00 AM,Fri,Weekday,No,Bus,384068
4/11/2024 12:00:00 AM,Thu,Weekday,No,Rail,433734
4/11/2024 12:00:00 AM,Thu,Weekday,No,Bus,395429
4/10/2024 12:00:00 AM,Wed,Weekday,No,Rail,457324
4/10/2024 12:00:00 AM,Wed,Weekday,No,Bus,399190
4/9/2024 12:00:00 AM,Tue,Weekday,No,Rail,448692
4/9/2024 12:00:00 AM,Tue,Weekday,No,Bus,411306
4/8/2024 12:00:00 AM,Mon,Weekday,No,Rail,366793
4/8/2024 12:00:00 AM,Mon,Weekday,No,Bus,377600
4/7/2024 12:00:00 AM,Sun,Sunday,No,Rail,264310
4/7/2024 12:00:00 AM,Sun,Sunday,No,Bus,211396
4/6/2024 12:00:00 AM,Sat,Saturday,No,Rail,327590
4/6/2024 12:00:00 AM,Sat,Saturday,No,Bus,244853
4/5/2024 12:00:00 AM,Fri,Weekday,No,Rail,425800
4/5/2024 12:00:00 AM,Fri,Weekday,No,Bus,369007
4/4/2024 12:00:00 AM,Thu,Weekday,No,Rail,490368
4/4/2024 12:00:00 AM,Thu,Weekday,No,Bus,400770
4/3/2024 12:00:00 AM,Wed,Weekday,No,Rail,453654
