,Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,Address
73,F09,Naylor Road,,,GR,,,,38.851187,-76.956565,"{'Street': '3226 Naylor Rd', 'City': 'Hillcrest Heights', 'State': 'MD', 'Zip': '20748'}"
74,F10,Suitland,,,GR,,,,38.843891,-76.932022,"{'Street': '4500 Silver Hill Rd', 'City': 'Suitland', 'State': 'MD', 'Zip': '20746'}"
75,F11,Branch Ave,,,GR,,,,38.826995,-76.912134,"{'Street': '4707 Old Soper Rd', 'City': 'Suitland', 'State': 'MD', 'Zip': '20746'}"
76,G01,Benning Road,,,BL,SV,,,38.890488,-76.938291,"{'Street': '4500 Benning Rd NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20019'}"
77,G02,Capitol Heights,,,BL,SV,,,38.889757,-76.913382,"{'Street': '133 Central Ave', 'City': 'Capitol Heights', 'State': 'MD', 'Zip': '20743'}"
78,G03,Addison Road-Seat Pleasant,,,BL,SV,,,38.886713,-76.893592,"{'Street': '100 Addison Rd S', 'City': 'Capitol Heights', 'State': 'MD', 'Zip': '20743'}"
79,G04,Morgan Boulevard,,,BL,SV,,,38.8913,-76.8682,"{'Street': '401 Garrett A Morgan Blvd', 'City': 'Landover', 'State': 'MD', 'Zip': '20785'}"
80,G05,Downtown Largo,,,BL,SV,,,38.9008,-76.8449,"{'Street': '9000 Lottsford Rd', 'City': 'Largo', 'State': 'MD', 'Zip': '20774'}"
81,J02,Van Dorn Street,,,BL,,,,38.799193,-77.129407,"{'Street': '5690 Eisenhower Ave', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22310'}"
82,J03,Franconia-Springfield,,,BL,,,,38.766129,-77.168797,"{'Street': '6880 Frontier Dr', 'City': 'Springfield', 'State': 'VA', 'Zip': '22150'}"
83,K01,Court House,,,OR,SV,,,38.891499,-77.08391,"{'Street': '2100 Wilson Blvd', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
84,K02,Clarendon,,,OR,SV,,,38.886373,-77.096963,"{'Street': '3100 Wilson Blvd', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
85,K03,Virginia Square-GMU,,,OR,SV,,,38.88331,-77.104267,"{'Street': '3600 Fairfax Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
86,K04,Ballston-MU,,,OR,SV,,,38.882071,-77.111845,"{'Street': '4230 Fairfax Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
