route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
RED,67_R,5973995_19909,"TAKOMA",0,,RRED_2,5973995,123
RED,67_R,5973977_19909,"TAKOMA",0,,RRED_2,5973977,101
RED,67_R,5973963_19909,"TAKOMA",0,,RRED_2,5973963,102
RED,67_R,5973998_19909,"TAKOMA",0,,RRED_2,5973998,103
RED,67_R,5973981_19909,"TAKOMA",0,,RRED_2,5973981,104
RED,67_R,5974011_19909,"TAKOMA",0,,RRED_2,5974011,105
RED,67_R,5973967_19909,"TAKOMA",0,,RRED_2,5973967,106
RED,67_R,5974004_19909,"TAKOMA",0,,RRED_2,5974004,107
RED,67_R,5974009_19909,"TAKOMA",0,,RRED_2,5974009,108
RED,67_R,5974018_19909,"TAKOMA",0,,RRED_2,5974018,109
RED,67_R,5973961_19909,"TAKOMA",0,,RRED_2,5973961,110
RED,67_R,5973980_19909,"TAKOMA",0,,RRED_2,5973980,111
RED,67_R,5973973_19909,"TAKOMA",0,,RRED_2,5973973,113
RED,67_R,5973994_19909,"TAKOMA",0,,RRED_2,5973994,114
RED,67_R,5973965_19909,"TAKOMA",0,,RRED_2,5973965,115
RED,67_R,5973993_19909,"TAKOMA",0,,RRED_2,5973993,116
RED,67_R,5974020_19909,"TAKOMA",0,,RRED_2,5974020,117
RED,67_R,5973982_19909,"TAKOMA",0,,RRED_2,5973982,118
RED,67_R,5973966_19909,"TAKOMA",0,,RRED_2,5973966,119
RED,67_R,5974014_19909,"TAKOMA",0,,RRED_2,5974014,120
RED,67_R,5974068_19909,"TAKOMA",0,,RRED_2,5974068,121
RED,67_R,5974042_19909,"TAKOMA",0,,RRED_2,5974042,122
RED,67_R,5974031_19909,"TAKOMA",0,,RRED_2,5974031,123
RED,67_R,5974061_19909,"TAKOMA",0,,RRED_2,5974061,101
RED,67_R,5974048_19909,"TAKOMA",0,,RRED_2,5974048,102
RED,67_R,5974072_19909,"TAKOMA",0,,RRED_2,5974072,103
RED,67_R,5974034_19909,"TAKOMA",0,,RRED_2,5974034,104
RED,67_R,5974059_19909,"TAKOMA",0,,RRED_2,5974059,105
RED,67_R,5974067_19909,"TAKOMA",0,,RRED_2,5974067,106
RED,67_R,5974058_19909,"TAKOMA",0,,RRED_2,5974058,107
RED,67_R,5974033_19909,"TAKOMA",0,,RRED_2,5974033,108
RED,67_R,5974027_19909,"TAKOMA",0,,RRED_2,5974027,109
RED,67_R,5974046_19909,"TAKOMA",0,,RRED_2,5974046,110
RED,67_R,5974063_19909,"TAKOMA",0,,RRED_2,5974063,111
RED,67_R,5974032_19909,"TAKOMA",0,,RRED_2,5974032,113
RED,67_R,5974073_19909,"TAKOMA",0,,RRED_2,5974073,114
RED,67_R,5974076_19909,"TAKOMA",0,,RRED_2,5974076,115
RED,67_R,5974049_19909,"TAKOMA",0,,RRED_2,5974049,116
RED,67_R,5974035_19909,"TAKOMA",0,,RRED_2,5974035,117
RED,67_R,5974071_19909,"TAKOMA",0,,RRED_2,5974071,118
RED,67_R,5974060_19909,"TAKOMA",0,,RRED_2,5974060,119
RED,67_R,5974045_19909,"TAKOMA",0,,RRED_2,5974045,120
RED,67_R,5974038_19909,"TAKOMA",0,,RRED_2,5974038,121
RED,67_R,5974057_19909,"TAKOMA",0,,RRED_2,5974057,122
